net,sta,loc,ch,lat,lon,wZ,wN,wE
IA,LKCI,00,SH,-3.4921,120.8858,-1.0,-1.0,-1.0
IA,LKSM,00,SH,0.1845,100.6007,-1.0,1.0,1.0
IA,LKUCM,,SH,-3.2924,122.2332,1.0,1.0,1.0
IA,LKUCM,,BH,-3.2924,122.2332,-1.0,-1.0,-1.0
IA,LLSI,,SH,-3.27843,102.9139,1.0,0.7,0.7
IA,LLSI,,BH,-3.27843,102.9139,-1.0,-1.0,-1.0
IA,LLSM,00,SH,-5.60039,104.80943,0.3,0.3,0.3
IA,LMNI,00,BH,-8.23386,123.7157,-1.0,-1.0,-1.0
IA,LMTI,00,SH,-8.6011,120.4771,1.0,1.0,1.0
IA,LOCM,00,SH,-1.6502,120.1825,0.8,0.7,0.7
IA,LOMSI,,SH,-4.91095,122.74157,1.0,1.0,1.0
IA,LPCM,00,SH,-3.5012,119.5378,1.0,1.0,1.0
IA,LPSM,00,SH,-1.7082,100.7196,-1.0,-1.0,0.3
IA,LRTI,,SH,-8.2752,123.0,0.9,0.9,0.9
IA,LSCM,00,SH,-4.365,119.8987,1.0,1.0,1.0
IA,LSNI,,SH,-8.96,117.18,1.0,0.8,0.3
IA,LTNI,,SH,-8.75,116.48,1.0,1.0,1.0
IA,LTNSI,,SH,1.336,97.32,-1.0,-1.0,-1.0
IA,LTSM,00,SH,1.52936,98.9305,1.0,1.0,1.0
IA,LUCM,00,SH,-1.4262,120.3225,-1.0,-1.0,-1.0
IA,LUJI,,SH,-7.826,113.0107,-1.0,-1.0,-1.0
IA,LUJI,,BH,-7.826,113.0107,-1.0,-1.0,-1.0
IA,LUWI,,SH,-1.0418,122.7717,1.0,1.0,1.0
IA,LUWI,,BH,-1.0418,122.7717,-1.0,-1.0,-1.0
IA,LWLI,,SH,-5.0175,104.0589,0.9,0.8,0.8
IA,LWLI,,BH,-5.0175,104.0589,-1.0,-1.0,-1.0
IA,MABKI,00,SH,2.2433,118.5676,1.0,0.6,0.5
IA,MAKBI,,SH,-8.487,115.505,1.0,1.0,1.0
IA,MAKKI,00,SH,-1.582298,108.796982,1.0,1.0,0.9
IA,MASFI,,SH,-8.537,122.032,1.0,0.5,0.7
IA,MASI,,SH,-3.1415,102.2396,0.8,0.7,0.7
IA,MASI,,BH,-3.1415,102.2396,-1.0,-1.0,-1.0
IA,MASM,00,SH,5.29847,95.59667,1.0,1.0,1.0
IA,MASSI,,SH,4.733,125.479,-1.0,-1.0,-1.0
IA,MBBI,,SH,-1.5406,102.0984,1.0,1.0,1.0
